,2P%,FT%,TRB,AST,STL,PTS,Pos
436,0.436,0.707,67,30,17,165,2.0
437,0.514,0.81,26,10,9,93,2.0
438,0.386,0.75,39,73,14,122,3.0
439,0.397,0.814,48,84,20,205,3.0
440,0.457,0.538,528,210,99,903,2.0
441,0.535,0.679,359,55,27,818,2.0
442,0.513,0.862,184,360,99,818,3.0
443,0.532,0.917,74,157,38,293,3.0
444,0.502,0.843,110,203,61,525,3.0
445,0.491,0.741,295,72,23,587,1.0
446,0.476,0.784,502,139,63,2012,5.0
447,0.503,0.833,264,114,59,776,5.0
448,0.49,0.6,418,135,38,568,1.0
449,0.545,0.804,406,264,90,1122,4.0
450,0.495,0.61,196,373,120,604,3.0
451,0.461,0.75,168,228,61,497,3.0
452,0.496,0.958,87,222,111,1266,3.0
453,0.497,0.707,431,159,73,994,5.0
454,0.333,0.636,15,10,5,59,4.0
455,0.501,0.888,219,299,87,1688,4.0
456,0.485,0.563,110,149,60,415,3.0
457,0.439,0.593,49,80,28,165,3.0
458,0.517,0.537,61,69,32,250,3.0
459,0.343,0.459,58,15,8,115,5.0
460,0.479,0.778,232,696,146,1350,3.0
461,0.491,0.637,478,252,86,870,5.0
462,0.512,0.829,471,277,75,1012,5.0
463,0.495,0.807,361,132,55,859,5.0
464,0.514,0.764,456,140,36,835,2.0
465,0.545,0.71,777,144,81,1552,1.0
466,0.51,0.49,391,105,28,599,2.0
467,0.549,0.734,211,299,140,1354,4.0
468,0.491,0.698,356,48,50,453,2.0
469,0.497,0.839,246,184,65,1180,4.0
470,0.422,0.786,42,77,15,144,4.0
471,0.424,0.786,41,75,15,140,4.0
472,0.528,0.778,629,161,67,777,2.0
473,0.523,0.773,124,734,110,1086,3.0
474,0.462,0.749,195,555,88,1217,3.0
475,0.313,0.7,37,11,4,37,2.0
476,0.467,0.564,60,71,33,190,4.0
477,0.483,0.756,583,344,163,1301,5.0
478,0.524,0.705,174,81,16,449,5.0
479,0.49,0.778,176,152,36,538,4.0
480,0.493,0.663,545,627,232,1293,4.0
481,0.546,0.574,390,126,38,740,1.0
482,0.49,0.718,481,105,58,1229,2.0
483,0.465,0.729,294,112,46,643,2.0
484,0.477,0.776,533,118,75,1003,2.0
485,0.478,0.78,520,113,71,970,2.0
486,0.48,0.753,37,140,17,231,3.0
487,0.555,0.807,286,35,29,278,1.0
488,0.415,0.683,56,136,27,219,3.0
489,0.528,0.721,634,161,76,1108,2.0
490,0.468,0.781,353,257,99,1292,5.0
491,0.425,0.667,132,10,12,215,2.0
492,0.503,0.764,268,114,60,444,5.0
493,0.459,0.603,138,27,18,235,5.0
494,0.479,0.82,391,249,78,1269,5.0
495,0.378,0.781,43,70,23,93,3.0
496,0.456,0.823,852,248,78,1530,1.0
497,0.478,0.85,231,285,51,1326,3.0
498,0.496,0.757,156,372,84,1279,4.0
499,0.478,0.815,193,357,113,1194,4.0
500,0.481,0.935,144,284,98,958,3.0
501,0.471,0.887,297,232,117,1184,5.0
502,0.559,0.789,151,440,118,810,3.0
503,0.519,0.667,116,70,27,188,4.0
504,0.521,0.809,287,426,122,1549,4.0
505,0.513,0.795,287,231,53,1967,4.0
506,0.495,0.641,686,284,62,1345,1.0
507,0.49,0.793,208,81,19,603,2.0
508,0.502,0.712,143,273,59,968,4.0
509,0.537,0.592,567,136,112,1100,5.0
510,0.525,0.64,673,170,52,507,1.0
511,0.375,0.474,30,7,7,84,5.0
512,0.414,0.838,202,129,38,300,5.0
513,0.432,0.818,270,94,29,588,5.0
514,0.385,0.737,25,9,5,34,1.0
515,0.438,0.793,102,253,52,234,3.0
516,0.465,0.645,315,122,53,689,5.0
517,0.415,0.788,48,208,32,206,3.0
518,0.57,0.628,686,149,85,831,2.0
519,0.455,0.748,453,129,46,800,2.0
520,0.459,0.75,369,113,41,681,2.0
521,0.469,0.638,465,72,27,423,1.0
522,0.485,0.686,433,226,97,1535,5.0
523,0.453,0.832,68,148,46,601,4.0
524,0.359,0.938,11,20,9,61,4.0
525,0.304,0.917,11,18,5,39,4.0
526,0.464,0.5,214,26,20,194,1.0
527,0.478,0.511,183,24,15,155,1.0
528,0.49,0.769,106,68,47,350,4.0
529,0.439,0.507,223,111,40,326,2.0
530,0.559,0.75,64,11,8,188,2.0
531,0.467,0.84,282,272,102,798,4.0
532,0.53,0.758,435,235,121,1827,5.0
533,0.464,0.69,96,30,25,199,5.0
534,0.479,0.852,129,164,91,1585,4.0
535,0.474,0.817,321,432,185,1560,3.0
536,0.496,0.69,416,180,116,885,2.0
537,0.34,0.833,7,17,4,42,4.0
538,0.485,0.869,140,229,70,799,4.0
539,0.446,0.766,97,75,36,380,4.0
540,0.505,0.75,115,115,57,235,3.0
541,0.466,0.803,88,153,42,335,3.0
542,0.58,0.706,659,225,63,1818,1.0
543,0.494,0.781,586,356,114,1196,1.0
544,0.475,0.68,249,164,37,955,5.0
545,0.363,0.862,56,87,37,219,4.0
546,0.475,0.747,116,541,52,858,3.0
547,0.476,0.83,633,250,137,1486,5.0
548,0.483,0.684,411,147,55,767,5.0
549,0.47,0.629,440,114,63,838,5.0
550,0.439,0.66,214,68,38,458,5.0
551,0.512,0.588,226,46,25,380,5.0
552,0.484,0.787,108,111,41,832,4.0
553,0.508,0.804,653,159,66,940,1.0
554,0.514,0.863,837,447,143,1761,2.0
555,0.479,0.583,97,124,30,524,4.0
556,0.515,0.768,254,105,46,1091,4.0
557,0.48,0.643,41,68,23,226,4.0
558,0.529,0.604,65,11,12,137,5.0
559,0.455,0.677,38,22,14,152,4.0
560,0.448,0.74,87,80,78,325,4.0
561,0.431,0.783,166,438,65,625,3.0
562,0.473,0.368,264,42,39,170,2.0
563,0.482,0.812,161,188,82,1357,4.0
564,0.51,0.875,50,67,23,444,4.0
565,0.47,0.779,111,121,59,913,4.0
566,0.483,0.864,125,109,28,511,5.0
567,0.447,0.817,339,448,65,573,5.0
568,0.47,0.726,120,156,49,400,4.0
569,0.507,0.757,624,236,113,1276,5.0
570,0.468,0.86,140,238,69,922,4.0
571,0.496,0.785,274,189,78,884,5.0
572,0.486,0.655,250,328,174,906,3.0
573,0.0,0.833,6,5,6,5,4.0
574,0.482,0.813,223,407,164,797,3.0
575,0.509,0.656,531,86,64,895,2.0
576,0.524,0.659,394,63,58,688,2.0
577,0.461,0.646,137,23,6,207,2.0
578,0.457,0.707,150,128,67,455,5.0
579,0.519,0.728,633,64,64,1289,1.0
580,0.477,0.829,79,60,34,442,4.0
581,0.451,0.732,73,7,7,150,2.0
582,0.526,0.62,561,146,58,1392,2.0
583,0.529,0.777,248,667,209,881,3.0
584,0.52,0.716,196,148,89,790,4.0
585,0.492,0.728,155,319,146,899,3.0
586,0.424,0.664,301,100,37,391,2.0
587,0.526,0.813,269,230,120,907,4.0
588,0.424,0.744,550,115,37,682,1.0
589,0.52,0.746,629,130,33,832,1.0
590,0.452,0.887,82,187,44,595,3.0
591,0.406,0.89,38,75,23,235,3.0
592,0.487,0.884,44,112,21,360,3.0
593,0.512,0.736,245,99,22,505,2.0
594,0.49,0.543,270,32,31,349,2.0
595,0.57,0.792,514,324,95,2457,5.0
596,0.53,0.804,226,509,73,993,3.0
597,0.484,0.811,133,31,10,206,5.0
598,0.473,0.799,178,346,76,1396,4.0
599,0.531,0.82,103,162,46,794,5.0
600,0.567,0.695,305,55,19,528,1.0
601,0.476,0.359,79,14,4,92,2.0
602,0.462,0.704,188,87,49,222,1.0
603,0.387,0.652,15,34,8,73,3.0
604,0.494,0.657,90,146,48,447,4.0
605,0.488,0.741,375,96,64,1298,5.0
606,0.479,0.794,149,419,110,874,3.0
607,0.447,0.333,15,12,3,72,4.0
608,0.475,0.708,104,227,45,520,4.0
609,0.513,0.712,559,188,135,669,4.0
610,0.459,0.73,84,157,20,272,3.0
611,0.455,0.778,12,15,2,43,5.0
612,0.461,0.741,27,45,16,150,3.0
613,0.513,0.684,581,123,24,1288,1.0
614,0.553,0.84,558,433,87,2082,5.0
615,0.548,0.763,557,319,161,1974,5.0
616,0.438,0.65,22,42,13,83,3.0
617,0.49,0.667,12,22,9,56,3.0
618,0.355,0.625,10,20,4,27,3.0
619,0.434,0.696,108,142,42,435,4.0
620,0.391,0.833,35,11,8,23,5.0
